played_at,track_name,artist_name,album,release_date,duration_ms,track_id,track_uri
2025-06-08T20:05:19.790Z,idontwannabeyouanymore,Billie Eilish,dont smile at me,2017-12-22,203569,41zXlQxzTi6cGAjpOXyLYH,spotify:track:41zXlQxzTi6cGAjpOXyLYH
2025-06-08T20:05:19.733Z,Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),2021-01-21,203464,0psS4i5YooJrXfDnGvWRLi,spotify:track:0psS4i5YooJrXfDnGvWRLi
2025-06-08T20:05:19.346Z,everything i wanted,Billie Eilish,everything i wanted,2019-11-13,245425,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
2025-06-08T19:31:29.085Z,Sailor Song,Gigi Perez,Sailor Song,2024-07-26,211978,2262bWmqomIaJXwCRHr13j,spotify:track:2262bWmqomIaJXwCRHr13j
2025-06-08T19:31:05.909Z,No One Noticed,The Marías,Submarine,2024-05-31,236906,3siwsiaEoU4Kuuc9WKMUy5,spotify:track:3siwsiaEoU4Kuuc9WKMUy5
2025-06-08T19:31:05.784Z,Suffocation,Crystal Castles,Crystal Castles (II),2010-01-01,242293,12oxsGACfwMozi4nK9noGQ,spotify:track:12oxsGACfwMozi4nK9noGQ
2025-06-08T19:31:02.292Z,No One Noticed (Extended Spanish),The Marías,No One Noticed (Extended),2024-11-15,284466,2kn0fLwt9QRorHuGdmk6ze,spotify:track:2kn0fLwt9QRorHuGdmk6ze
2025-06-08T19:30:59.944Z,Train Wreck,James Arthur,Back from the Edge,2016-10-28,208826,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H
2025-06-08T16:10:39.764Z,大蛇丸のテーマ,MUSASHI PROJECT,NARUTO -ナルト-　オリジナルサウンドトラック Ⅱ,2004-03-10,153866,7FNyA7Wa3OzWbSpZxhOv2E,spotify:track:7FNyA7Wa3OzWbSpZxhOv2E
2025-06-08T16:08:05.423Z,SLAY!,Eternxlkz,SLAY!,2024-03-15,107076,67smGwuPEtA6GAfeweAVNO,spotify:track:67smGwuPEtA6GAfeweAVNO
2025-06-08T16:03:46.719Z,DANÇA INTERSTELLAR,Dj Samir,DANÇA INTERSTELLAR,2024-09-05,92567,3EkQjmDkkn8U5RleOr9J0r,spotify:track:3EkQjmDkkn8U5RleOr9J0r
2025-06-08T16:00:05.912Z,BARRETE!,CHASHKAKEFIRA,BARRETE!,2024-07-25,99692,2A0P6gUFIBn4WEeUuBtRru,spotify:track:2A0P6gUFIBn4WEeUuBtRru
2025-06-08T15:56:04.026Z,This Side of Paradise - slowed,Coyote Theory,This Side of Paradise (slowed),2021-02-12,304820,3BIBnyt40zWjPCNqRyGwPp,spotify:track:3BIBnyt40zWjPCNqRyGwPp
2025-06-08T15:50:29.348Z,TELESCOPE,TWXN,Project YVL,2024-05-31,143046,46oDV1H9EdVmnWSivShuH1,spotify:track:46oDV1H9EdVmnWSivShuH1
2025-06-08T15:48:06.560Z,i like the way you kiss me,Artemas,yustyna,2024-07-11,142514,3JG1uFc40wfyrqaWC7iv0e,spotify:track:3JG1uFc40wfyrqaWC7iv0e
2025-06-08T15:46:12.403Z,DRESS!,Eternxlkz,DRESS!,2024-04-19,90461,2q7LaJ39WSzo6CyKeT3ErE,spotify:track:2q7LaJ39WSzo6CyKeT3ErE
2025-06-08T15:41:52.925Z,Contigo Siempre,Flame Runner,Contigo Siempre,2025-04-11,66000,7llooRQ2Y8fc7bZYvXHqbC,spotify:track:7llooRQ2Y8fc7bZYvXHqbC
